final_title,combined_features
Avatar,Action Adventure Fantasy Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d
Pirates of the Caribbean: At World's End,Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
Spectre,Action Adventure Crime spy based on novel secret agent sequel mi6 british secret service united kingdom
The Dark Knight Rises,Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman
John Carter,Action Adventure Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d
Spider-Man 3,Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge
Tangled,Animation Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick
Avengers: Age of Ultron,Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf
Batman v Superman: Dawn of Justice,Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe
Superman Returns,Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor
Quantum of Solace,Adventure Action Thriller Crime killing undercover secret agent british secret service
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger
The Lone Ranger,Action Adventure Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto
Man of Steel,Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world
The Avengers,Science Fiction Action Adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d
Men in Black 3,Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future changing history
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery
The Amazing Spider-Man,Action Adventure Fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger
Robin Hood,Action Adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england
The Hobbit: The Desolation of Smaug,Adventure Fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery
The Golden Compass,Adventure Fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel
King Kong,Adventure Drama Action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur
Titanic,Drama Romance Thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s
Captain America: Civil War,Adventure Action Science Fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d
Battleship,Thriller Action Adventure Science Fiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri
Jurassic World,Action Adventure Science Fiction Thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror
Skyfall,Action Adventure Thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao
Spider-Man 2,Action Adventure Fantasy dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain
Iron Man 3,Action Adventure Science Fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis
Alice in Wonderland,Family Fantasy Adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d
X-Men: The Last Stand,Adventure Action Science Fiction Thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger
Monsters University,Animation Family monster dormitory games animation best friend university scary aftercreditsstinger
Transformers: Revenge of the Fallen,Science Fiction Action Adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger
Transformers: Age of Extinction,Science Fiction Action Adventure sequel alien transformers giant robot robot imax transforming robot
Oz: The Great and Powerful,Fantasy Adventure Family circus witch magic hope illusion lost magic trick wizard 3d
The Amazing Spider-Man 2,Action Adventure Fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers
TRON: Legacy,Adventure Action Science Fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy
Cars 2,Animation Family Adventure Comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger
Green Lantern,Adventure Action Thriller Science Fiction dc comics transformation superhero alien alien infection magical object protector super powers origin 3d
